study_hours,sleep_hours,screen_time_hours,workout_done,mood_score,deep_work_sessions,streak_days,goal_difficulty,task_completion_rate,stress_level,breaks_taken,weekend_recovery_score,consistency_label,burnout_label,growth_score
1.0,7.6,10.0,1,5,1,12,4,0.77,4,5,2,1,0,27
2.7,5.0,2.9,0,6,3,17,2,0.78,8,3,1,0,2,74
3.8,4.0,8.8,1,10,1,16,5,0.81,4,3,10,0,0,58
0.4,8.9,6.8,1,5,5,28,3,0.66,8,1,6,0,1,74
0.1,5.1,4.0,1,1,2,5,4,0.15,8,4,5,0,2,15
5.5,8.8,8.3,0,10,5,30,1,0.99,2,4,7,1,0,100
0.7,6.4,8.8,1,5,4,29,5,0.59,9,4,10,0,1,67
5.6,8.2,2.7,1,5,4,11,5,0.31,9,3,2,0,1,86
3.0,4.6,7.5,1,7,4,27,2,0.95,1,2,9,0,0,92
2.7,6.6,4.3,1,4,0,0,5,0.29,1,3,3,0,0,18
4.4,8.8,7.6,1,3,4,23,5,0.65,2,1,8,1,0,91
3.5,8.4,6.4,0,6,1,1,4,0.67,10,4,4,0,1,36
4.1,8.5,5.8,1,2,3,28,5,0.67,1,5,4,1,0,94
2.9,8.1,5.2,0,4,0,30,1,0.7,4,4,2,1,0,71
4.0,5.6,4.5,0,3,1,10,1,0.57,6,3,3,0,1,55
2.9,6.4,7.1,0,5,0,23,3,0.9,10,2,1,0,1,61
4.1,6.5,4.9,0,10,5,12,2,0.58,5,1,7,0,0,82
1.9,5.1,6.2,1,8,0,3,3,0.94,4,4,1,0,0,26
4.1,7.1,3.9,0,7,1,17,3,0.95,8,5,5,0,1,75
2.9,5.6,4.3,0,10,3,14,5,0.22,6,0,3,0,1,58
5.9,6.2,2.2,0,4,5,17,2,0.4,8,0,8,0,1,100
5.5,7.3,7.8,0,8,1,4,2,0.95,4,0,6,1,0,59
3.4,4.1,2.0,0,9,4,25,1,0.88,5,3,4,0,0,100
4.1,6.1,7.0,0,7,5,16,3,0.45,10,3,10,0,1,81
2.3,7.1,2.8,0,1,2,26,4,0.56,8,5,6,0,1,75
1.9,4.5,2.1,1,10,4,9,2,0.62,2,2,10,0,0,60
5.4,4.3,10.0,1,3,5,20,2,0.48,7,3,9,0,1,92
3.6,7.9,8.1,1,2,5,17,1,0.86,5,4,6,1,0,85
3.7,4.6,6.6,1,3,1,19,3,0.94,7,5,4,0,1,69
2.3,8.7,7.8,0,1,4,16,4,0.63,5,3,10,1,0,63
3.0,6.2,6.5,0,7,0,16,4,0.96,10,3,4,0,1,54
0.1,8.7,1.5,1,2,3,9,5,0.49,2,1,10,0,0,39
3.0,5.1,6.9,0,3,5,29,3,0.61,3,3,2,0,0,95
1.0,5.9,8.6,0,5,0,5,4,0.76,2,0,10,0,0,13
5.0,7.1,3.5,0,6,0,2,2,0.84,5,2,5,1,0,52
0.6,8.0,6.6,1,9,5,19,2,0.49,1,5,2,0,0,59
3.0,4.0,2.9,1,10,2,29,5,0.93,7,1,2,0,1,92
0.7,8.3,4.3,1,10,5,10,2,0.99,8,5,5,0,1,61
0.1,8.6,2.8,1,5,0,3,3,0.19,2,5,3,0,0,3
3.3,7.9,4.7,1,2,0,0,4,0.37,1,5,10,0,0,24
2.4,5.9,5.7,0,5,3,4,3,0.32,4,4,7,0,0,38
1.5,6.6,8.3,0,6,0,9,1,0.95,8,5,8,0,1,27
5.5,4.7,4.5,1,1,0,22,1,0.56,7,5,1,0,1,79
2.2,7.8,7.6,1,5,2,24,5,0.5,3,3,5,0,0,60
1.9,7.2,4.9,0,3,1,6,1,0.14,3,3,5,0,0,23
3.0,6.0,8.1,1,4,0,26,2,0.61,9,0,5,0,1,59
2.2,7.0,5.5,1,5,4,22,2,0.1,7,4,3,0,1,65
0.2,4.5,4.3,1,9,4,23,2,0.8,8,4,2,0,2,67
4.4,4.2,5.7,1,2,1,9,3,0.58,10,5,10,0,2,54
5.6,6.4,8.9,1,6,5,25,1,0.11,10,2,1,0,1,96
2.0,6.6,6.7,0,3,5,22,1,0.72,8,5,1,0,1,80
0.4,8.4,4.5,0,6,2,19,4,0.1,9,1,5,0,1,36
0.5,8.3,2.5,1,2,5,22,1,0.64,2,0,9,1,0,74
3.7,5.3,5.0,0,10,2,3,3,0.36,3,0,4,0,0,43
5.9,7.7,8.5,0,5,1,9,4,0.74,8,3,10,0,1,64
1.4,7.9,7.0,0,9,3,1,5,1.0,7,1,4,0,1,36
2.5,6.5,7.4,1,2,1,2,1,0.86,9,4,1,0,1,31
0.5,4.6,4.1,0,9,2,14,5,0.27,5,2,1,0,0,34
3.3,5.3,5.3,0,2,4,0,1,0.15,7,1,10,0,1,42
1.5,6.1,8.2,1,5,4,9,4,0.35,7,3,6,0,1,40
3.8,6.5,7.2,0,9,4,19,2,0.45,6,1,7,0,1,77
0.7,6.8,5.2,0,7,2,27,1,0.17,1,2,1,0,0,51
2.7,7.7,5.8,1,4,3,15,1,0.55,5,5,1,0,0,61
4.9,4.7,1.2,1,9,2,12,4,0.72,1,3,2,0,0,81
0.9,7.5,7.8,0,9,0,9,3,0.87,7,5,7,0,1,22
2.5,6.4,2.5,1,10,2,3,1,0.85,3,2,9,1,0,48
5.0,8.7,7.6,0,3,1,30,2,0.79,1,5,4,1,0,91
0.9,8.5,4.7,1,6,2,20,4,0.15,4,3,7,0,0,42
1.5,7.5,5.3,1,3,5,8,4,0.99,2,0,8,1,0,63
2.4,5.7,6.5,1,3,4,15,2,0.66,9,0,8,0,2,65
1.0,6.1,6.6,0,9,3,14,5,0.63,2,2,10,1,0,46
3.5,8.8,2.8,0,1,3,14,4,0.76,10,5,3,0,1,76
3.1,6.7,8.2,0,10,4,10,1,0.21,8,0,8,0,1,51
5.6,7.2,5.0,0,1,2,11,5,0.38,8,5,3,0,1,70
4.1,9.0,8.4,1,4,3,0,3,0.49,8,3,2,0,1,43
2.1,5.6,4.3,0,6,2,25,4,0.75,1,1,3,0,0,72
0.8,7.0,7.5,1,6,1,24,4,0.52,6,4,3,0,1,43
3.3,6.6,4.5,1,5,4,4,4,0.46,5,0,2,0,0,56
1.7,5.5,6.4,0,7,3,25,4,0.22,8,1,9,0,2,60
4.7,6.0,6.5,1,6,5,22,1,0.75,7,0,5,0,1,100
4.0,8.8,4.7,1,1,0,17,4,0.51,6,3,1,0,1,58
0.0,6.8,1.6,0,3,4,26,3,0.91,7,5,5,0,1,78
2.7,6.7,9.3,1,4,2,22,5,0.95,7,3,7,0,1,67
1.0,6.0,9.7,0,2,1,27,4,0.11,2,4,4,0,0,37
1.3,4.1,2.1,1,4,1,17,3,0.37,5,2,3,0,0,45
3.3,5.7,8.0,1,3,1,3,4,0.56,7,5,10,0,1,32
0.8,8.5,7.2,1,6,5,16,1,0.45,3,5,6,0,0,55
3.4,5.9,4.3,1,9,4,4,3,0.39,3,5,4,0,0,56
2.0,7.9,3.9,0,1,5,26,1,0.24,4,5,7,0,0,82
2.6,8.0,6.7,1,2,1,1,4,0.23,1,0,2,0,0,19
5.2,6.0,7.8,0,5,0,18,1,0.97,10,5,4,0,1,72
5.2,5.1,1.5,1,7,2,17,2,0.87,5,2,5,0,0,93
2.0,5.5,9.9,0,9,3,4,4,0.21,10,0,10,0,2,24
3.2,8.4,9.0,0,8,0,26,3,0.69,5,3,8,1,0,60
4.4,5.1,4.9,1,1,4,13,2,0.74,10,1,2,0,2,83
1.7,6.8,9.1,1,9,5,7,1,0.32,6,1,8,0,1,42
0.4,5.1,5.6,1,6,0,28,2,0.57,7,1,10,0,1,45
2.2,7.6,5.0,1,9,3,17,3,0.28,7,0,1,0,1,56
5.1,6.9,2.8,1,3,4,30,1,0.77,3,4,5,1,0,100
0.5,5.4,7.3,1,5,4,19,3,0.82,3,5,10,0,0,58
0.7,4.2,4.6,1,2,2,10,2,0.33,4,1,4,0,0,30
2.6,7.0,6.0,0,9,2,28,5,1.0,3,1,4,1,0,82
5.7,7.6,6.6,0,1,4,8,5,0.64,4,0,9,1,0,81
0.7,6.9,4.0,1,3,4,5,1,0.79,6,4,5,1,1,44
5.3,8.1,6.8,1,4,0,30,3,0.22,3,4,6,0,0,78
5.8,8.5,9.1,0,4,2,30,4,0.83,8,5,7,0,1,100
3.2,8.5,5.9,0,3,5,16,5,0.9,4,3,8,1,0,85
1.5,5.4,3.4,1,8,4,12,3,0.25,8,1,7,0,2,52
5.6,6.0,5.0,0,8,1,20,5,0.48,9,3,9,0,1,80
5.7,4.8,5.3,1,2,2,11,2,0.63,6,1,6,0,1,76
4.6,6.0,3.3,1,8,0,2,5,0.63,5,4,1,0,0,45
3.8,8.0,7.0,1,4,0,22,3,0.92,6,2,6,1,1,67
2.0,8.4,1.1,1,1,1,12,1,0.43,9,3,9,0,1,46
3.0,8.4,6.1,1,1,2,13,4,0.7,5,1,5,1,0,57
3.7,6.5,3.5,1,8,3,20,3,0.91,10,4,2,0,1,88
1.5,5.1,3.5,1,4,1,0,1,0.86,9,3,8,0,2,28
1.0,8.4,3.7,1,5,0,9,3,0.27,7,5,9,0,1,19
5.9,6.9,4.5,0,7,1,6,4,0.94,8,0,7,0,1,72
3.9,7.8,4.9,1,7,0,9,4,0.93,5,0,9,1,0,53
2.8,6.1,3.2,1,3,0,3,5,0.6,7,3,1,0,1,32
4.3,6.1,3.8,0,2,1,2,4,0.14,4,3,3,0,0,38
3.0,8.4,5.8,1,5,1,19,1,0.66,6,5,1,1,1,60
2.4,4.1,5.6,1,4,3,26,2,0.82,6,0,5,0,1,81
0.2,5.0,7.6,1,7,0,18,1,0.73,4,1,8,0,0,28
4.3,5.9,8.6,1,6,2,24,4,0.18,3,4,10,0,0,68
3.7,8.9,7.3,1,2,3,27,5,0.75,1,2,1,1,0,88
2.6,7.6,10.0,0,9,3,24,3,0.79,4,4,3,1,0,70
1.7,4.3,9.4,0,3,1,22,5,0.97,5,1,3,0,0,53
3.1,5.1,1.5,0,4,1,27,1,0.4,1,5,1,0,0,76
5.4,5.1,1.8,0,8,0,15,3,0.17,7,2,3,0,1,65
1.3,5.8,4.9,0,2,4,22,2,0.75,1,2,5,0,0,72
2.3,4.5,6.7,1,4,3,19,2,0.96,7,3,7,0,1,70
3.6,7.9,1.5,0,7,1,12,4,0.99,10,3,3,0,1,69
0.7,6.1,7.7,0,9,3,23,3,0.42,10,4,10,0,1,51
3.8,4.5,3.5,1,1,3,19,5,0.5,1,5,3,0,0,79
5.0,8.3,6.1,0,9,3,16,4,0.43,6,5,8,0,1,78
0.7,7.0,6.9,0,10,4,12,4,0.12,7,2,2,0,1,36
0.4,4.5,5.9,0,9,1,22,2,0.75,9,0,2,0,2,45
1.3,7.3,9.6,0,3,1,16,2,0.45,1,4,10,0,0,30
4.5,8.8,5.9,1,10,1,26,5,0.71,7,0,6,0,1,83
1.4,6.7,7.6,0,8,2,18,3,0.95,4,3,9,1,0,54
4.6,8.6,2.5,1,10,5,3,5,0.99,9,4,10,0,1,86
4.3,7.6,4.4,0,3,2,1,5,0.66,7,2,3,0,1,52
1.6,6.7,3.6,1,9,3,7,3,0.16,10,2,6,0,1,37
4.8,4.4,9.9,1,8,5,17,2,0.69,6,2,3,0,1,87
0.4,7.4,8.0,1,9,5,30,1,0.73,5,4,3,1,0,76
2.0,7.2,9.5,0,1,0,28,1,0.31,4,5,1,0,0,45
1.2,4.0,7.5,0,2,1,8,2,0.84,8,0,8,0,2,29
1.8,8.8,9.2,1,10,3,0,1,0.98,1,2,6,1,0,33
5.5,7.4,9.0,1,6,4,10,3,0.26,5,2,9,0,0,70
1.5,6.1,3.3,0,7,4,23,1,0.38,8,3,3,0,1,71
1.7,8.4,7.1,1,10,4,27,4,0.94,5,2,4,1,0,82
2.2,8.8,5.5,0,5,0,20,3,0.52,3,2,7,0,0,47
5.5,8.0,3.6,1,7,0,28,3,0.92,10,2,9,0,1,97
2.1,5.2,8.0,0,7,4,10,1,0.46,5,1,3,0,0,49
3.1,7.7,3.9,0,7,3,14,2,0.79,7,0,7,0,1,71
0.8,5.1,2.8,0,8,2,10,5,0.63,9,4,3,0,2,40
4.9,6.1,1.9,1,4,5,14,2,0.42,8,3,7,0,1,94
0.7,6.8,7.7,0,5,0,9,3,0.76,7,4,6,0,1,18
4.3,6.2,7.3,0,9,4,29,2,0.41,9,4,6,0,1,95
3.3,4.0,2.2,0,5,4,18,2,0.2,4,3,9,0,0,77
2.2,4.3,1.3,0,1,3,15,4,0.76,8,5,6,0,2,70
2.4,7.8,5.6,1,5,0,1,3,0.62,4,2,5,1,0,21
0.9,5.6,8.4,0,9,5,26,2,0.36,2,2,9,0,0,66
3.5,6.1,2.4,0,1,4,18,3,0.94,6,1,9,1,1,93
2.8,8.1,4.0,1,9,0,25,3,0.91,9,0,10,0,1,70
5.2,7.8,6.3,0,3,4,0,1,0.17,8,3,7,0,1,56
3.2,6.2,1.2,0,9,1,20,5,0.79,6,5,6,1,1,75
2.7,7.8,1.7,0,3,4,23,1,0.67,8,4,9,0,1,90
0.0,8.8,2.3,1,5,4,26,4,0.67,9,3,5,0,1,71
3.9,4.9,8.4,1,1,4,2,3,0.39,8,2,7,0,2,49
3.2,6.7,7.5,1,8,2,29,1,0.29,1,3,9,0,0,71
0.9,5.7,4.5,1,9,0,8,2,0.78,4,2,4,0,0,25
1.1,5.3,1.7,0,9,0,24,2,0.34,2,0,8,0,0,48
5.3,5.2,8.0,1,2,0,12,5,0.14,2,2,4,0,0,47
4.4,7.5,5.7,1,8,3,7,3,0.63,3,0,4,1,0,64
2.2,5.8,1.7,0,3,3,12,2,0.7,8,4,5,0,2,64
0.8,6.9,6.4,1,4,2,7,3,0.99,6,4,10,1,1,35
5.8,7.6,4.5,0,5,5,28,1,0.4,6,3,9,0,1,100
0.6,5.7,6.2,0,1,4,14,2,0.79,9,0,10,0,2,53
5.1,8.2,2.7,0,9,0,4,5,0.84,4,3,2,1,0,58
2.9,6.1,9.4,0,7,5,19,3,0.36,4,3,9,0,0,70
3.0,5.7,7.5,0,4,1,7,3,0.33,10,3,9,0,2,32
4.5,8.7,3.9,1,4,3,17,4,0.48,2,0,6,0,0,81
3.6,6.1,8.1,0,7,3,29,4,0.99,3,0,8,1,0,93
3.6,8.1,7.4,1,9,4,4,2,0.75,1,1,9,1,0,59
4.0,5.6,9.7,1,4,0,21,3,0.13,3,0,9,0,0,46
5.1,4.3,7.9,0,10,5,25,4,0.92,7,5,8,0,1,100
2.7,6.6,7.0,1,10,1,27,4,0.68,10,3,9,0,1,67
5.9,7.5,6.9,1,7,0,17,3,0.53,9,1,7,0,1,69
5.5,7.2,7.3,0,7,0,23,1,0.67,3,2,8,1,0,77
5.9,6.7,9.1,1,7,3,24,4,0.5,1,5,4,0,0,93
0.4,5.6,5.6,0,5,4,4,1,1.0,3,1,2,0,0,42
0.8,7.6,5.5,0,9,1,20,4,0.76,2,1,3,1,0,46
2.8,8.6,8.0,0,8,0,26,4,0.57,6,3,10,0,1,56
1.1,5.1,6.6,1,8,2,5,3,0.98,9,4,8,0,2,34
0.3,5.5,8.1,0,7,4,1,4,0.26,3,5,7,0,0,16
4.9,5.1,2.7,1,5,4,2,2,0.24,10,0,7,0,2,65
2.3,8.9,5.9,1,6,0,23,2,0.53,9,5,8,0,1,51
1.7,6.3,5.7,1,3,1,26,3,0.9,10,1,6,0,1,65
4.0,4.9,2.4,0,3,0,26,5,0.61,1,4,1,0,0,78
5.3,5.0,9.7,0,4,2,18,5,0.88,1,0,7,0,0,79
0.2,6.7,5.1,0,2,5,18,2,0.76,7,4,6,0,1,63
1.3,8.3,7.5,0,8,3,13,3,0.29,10,0,4,0,1,38
4.1,5.0,7.8,1,5,5,24,4,0.11,6,5,9,0,1,85
0.2,6.4,1.1,1,7,3,24,3,0.63,5,5,7,1,0,66
0.1,8.5,8.0,1,6,2,26,1,0.89,3,1,10,1,0,53
0.7,5.5,9.1,0,7,0,1,5,0.97,5,3,10,0,0,8
1.8,6.6,9.5,1,10,2,2,4,0.99,7,2,2,0,1,30
3.9,5.3,7.0,0,6,1,20,4,0.35,9,1,6,0,2,60
1.8,8.2,6.0,0,9,5,19,3,0.3,3,4,2,0,0,66
1.7,4.8,8.4,0,3,5,12,4,0.25,7,3,3,0,1,49
0.7,4.2,9.8,1,7,4,18,3,0.89,5,5,9,0,0,54
1.9,4.9,1.3,1,3,5,21,2,0.49,3,4,9,0,0,83
5.8,5.7,3.9,0,2,0,14,2,0.9,1,0,6,0,0,77
0.4,6.6,9.8,0,8,0,10,1,0.66,10,0,10,0,1,11
2.1,4.9,4.7,1,10,0,6,5,0.64,3,0,10,0,0,29
2.4,8.4,4.6,0,8,3,30,3,0.48,7,5,9,0,1,82
4.2,6.6,1.2,0,5,4,1,5,0.22,7,0,9,0,1,61
3.6,8.6,2.0,0,8,5,4,3,0.91,7,3,4,0,1,79
1.2,7.8,1.0,1,10,0,18,1,0.87,2,1,4,1,0,52
3.8,5.2,7.5,0,5,1,27,4,0.33,5,1,3,0,0,68
0.5,4.7,2.8,1,6,3,22,4,0.86,10,4,8,0,2,66
2.6,6.5,5.6,1,2,4,1,4,0.74,4,0,8,1,0,49
0.4,7.1,2.7,0,8,2,11,5,0.8,2,2,2,1,0,42
2.1,6.7,6.9,0,8,2,28,4,0.54,8,0,8,0,1,67
4.6,6.9,6.5,1,8,4,15,5,0.91,5,3,7,1,0,88
3.7,8.5,4.9,1,9,0,16,1,0.19,9,2,4,0,1,47
3.9,8.4,5.6,0,7,0,8,1,0.48,5,4,6,0,0,41
2.6,6.7,6.0,0,5,2,5,2,0.18,5,1,6,0,0,31
5.0,7.8,4.8,1,8,4,24,4,0.61,2,2,6,1,0,100
0.7,6.1,2.7,0,9,0,0,5,0.55,9,3,4,0,1,11
5.0,6.8,4.6,1,10,1,27,3,0.76,10,0,8,0,1,92
3.8,6.0,4.9,0,4,2,29,4,0.8,6,3,3,0,1,92
4.0,8.4,3.6,1,9,1,14,1,0.5,8,0,9,0,1,61
3.4,8.5,8.2,1,8,2,3,5,0.94,2,0,10,1,0,46
4.8,7.8,6.1,1,2,2,28,1,0.51,5,1,4,0,0,90
5.7,7.0,6.8,1,9,5,24,1,0.58,8,2,5,0,1,100
5.3,7.9,9.5,1,6,4,17,3,0.5,7,4,8,0,1,82
4.8,5.4,2.5,1,5,4,9,4,0.29,1,4,6,0,0,76
5.2,6.4,6.3,0,5,4,15,5,0.33,5,3,8,0,0,82
1.9,7.0,5.4,0,1,0,12,5,0.75,2,3,9,1,0,37
3.0,5.7,9.1,1,6,1,28,3,0.63,4,0,6,0,0,66
2.8,4.2,1.9,0,3,3,8,1,0.36,10,0,3,0,2,55
3.3,5.1,6.0,0,5,3,21,3,0.64,4,1,1,0,0,76
3.7,6.5,4.6,1,10,0,13,4,0.65,4,5,10,1,0,52
1.2,4.1,4.8,1,10,5,11,4,0.64,3,0,8,0,0,59
3.3,7.2,6.5,0,3,2,29,2,0.11,3,5,2,0,0,71
5.2,8.6,9.9,0,7,3,25,2,0.83,3,2,4,1,0,93
3.0,5.1,1.3,0,5,1,7,2,0.49,3,3,9,0,0,47
2.8,5.1,5.9,0,3,0,21,3,0.27,3,4,4,0,0,47
5.5,7.3,9.4,0,7,2,11,5,0.5,5,2,2,0,0,63
5.9,7.7,4.6,0,1,0,19,2,0.81,9,4,7,0,1,82
1.8,5.2,9.0,0,2,4,4,5,0.32,10,5,3,0,2,32
1.7,7.5,8.6,0,2,1,5,3,0.11,9,3,6,0,1,12
0.3,7.4,7.7,1,6,5,30,1,0.51,5,5,4,0,0,72
2.1,5.2,5.8,1,8,1,5,2,0.81,10,0,4,0,2,34
4.6,4.9,4.3,0,8,2,15,1,0.56,2,0,1,0,0,73
5.6,7.8,2.3,1,1,1,19,2,0.81,6,1,1,1,1,90
2.4,5.2,8.9,1,8,3,22,4,0.81,7,5,7,0,1,68
5.8,8.8,8.8,1,6,4,23,3,0.7,7,0,2,0,1,100
3.7,6.4,1.4,0,10,1,14,1,0.54,2,0,3,0,0,64
5.5,5.7,1.2,1,1,2,0,2,0.95,9,4,5,0,2,72
3.6,8.5,4.3,0,4,4,25,4,0.27,1,4,9,0,0,87
4.4,4.9,2.3,0,2,4,24,2,0.51,8,2,4,0,2,100
2.6,6.2,4.1,0,8,3,8,1,0.78,5,0,2,1,0,58
4.1,7.3,6.6,0,6,3,23,5,0.13,5,3,5,0,0,74
3.6,5.2,7.9,0,3,1,19,3,0.95,1,2,2,0,0,66
1.9,4.9,2.7,0,1,2,30,4,0.48,4,5,1,0,0,76
1.1,7.9,6.8,0,8,3,0,3,0.25,4,1,2,0,0,18
5.4,5.9,9.9,1,5,4,6,1,0.8,1,5,10,0,0,72
4.1,5.3,3.2,0,10,4,22,1,0.69,4,1,3,0,0,97
2.2,5.5,6.3,0,7,0,28,3,0.68,3,5,4,0,0,60
5.9,4.4,4.8,0,7,2,1,5,0.88,6,0,7,0,1,68
4.8,8.0,1.7,1,5,3,24,5,0.61,3,0,2,1,0,100
0.2,4.7,6.5,1,3,1,14,1,0.9,8,2,3,0,2,33
0.7,4.1,8.2,0,5,0,24,2,0.54,7,1,1,0,1,36
0.9,4.6,1.7,1,6,0,16,5,0.67,9,3,1,0,2,41
0.1,6.2,5.9,0,1,5,25,4,0.97,9,0,8,0,1,75
4.6,4.9,3.2,0,9,2,24,4,0.79,7,3,7,0,1,94
2.3,7.8,8.2,1,9,3,29,3,0.33,10,4,1,0,1,70
3.0,5.8,4.4,1,2,3,14,3,0.81,4,0,1,0,0,70
5.5,7.7,6.9,1,9,4,15,5,0.54,6,3,2,0,1,87
5.2,6.5,4.2,1,2,5,19,1,0.25,9,2,6,0,1,96
0.8,8.3,7.8,0,9,5,1,5,0.16,2,0,4,0,0,25
3.0,5.1,10.0,1,4,5,13,4,0.67,9,3,4,0,2,66
0.6,8.0,9.4,1,8,2,18,4,0.11,7,4,9,0,1,27
3.4,5.7,8.3,0,2,4,17,2,0.8,3,0,2,0,0,76
0.9,5.0,1.2,1,6,1,0,5,0.59,7,0,4,0,1,22
3.0,8.3,4.1,1,1,4,4,5,0.35,5,1,1,0,0,52
2.4,6.3,8.2,0,1,0,16,5,0.24,2,2,2,0,0,31
5.7,6.2,6.0,1,5,2,16,2,0.7,7,0,7,0,1,83
5.5,5.7,1.3,1,6,5,23,4,0.37,1,2,6,0,0,100
2.0,6.0,9.9,1,1,5,29,4,0.21,6,5,2,0,1,73
1.2,5.8,1.0,0,5,0,8,3,0.75,6,5,4,0,1,34
1.7,7.2,8.7,0,2,2,14,2,0.51,2,4,4,0,0,39
5.4,7.4,5.2,0,1,5,7,5,0.13,10,5,3,0,1,75
1.5,4.3,6.2,0,1,5,28,2,0.64,4,3,6,0,0,84
3.7,8.1,9.5,1,8,0,29,2,0.18,10,1,9,0,1,57
2.3,8.2,1.2,1,2,4,28,4,0.41,4,3,6,0,0,90
1.6,7.4,8.7,0,2,4,7,5,0.47,4,0,6,0,0,39
3.1,6.2,2.6,1,1,4,22,5,0.31,4,2,6,0,0,82
5.7,8.6,4.5,1,8,0,12,3,0.94,1,5,1,1,0,73
2.7,7.1,7.8,1,1,1,17,3,0.58,4,2,5,0,0,49
3.6,6.7,9.2,0,2,4,25,3,0.11,6,5,5,0,1,74
2.9,6.5,2.9,1,7,0,15,5,0.49,1,0,6,0,0,49
3.9,4.2,5.6,0,1,1,8,2,0.23,3,2,10,0,0,42
3.4,4.7,7.5,1,2,0,0,3,0.55,4,4,2,0,0,23
1.5,8.5,9.4,0,5,2,8,1,0.9,5,0,7,1,0,35
2.1,6.9,3.7,1,8,3,2,5,0.11,6,4,9,0,1,32
5.5,6.3,3.0,0,10,2,6,1,0.33,1,5,10,0,0,65
1.3,5.0,8.5,0,6,0,9,2,0.73,5,5,4,0,0,21
5.9,8.7,5.6,0,8,1,22,5,0.58,3,2,1,0,0,86
3.8,8.0,6.2,1,10,2,1,5,0.83,8,0,4,0,1,48
4.0,8.8,2.3,1,8,5,19,5,0.1,9,1,2,0,1,87
0.4,5.1,1.2,1,10,2,11,4,0.32,4,5,4,0,0,35
5.3,7.0,9.6,1,7,0,7,4,0.48,2,1,10,0,0,43
3.4,8.2,4.9,0,3,3,21,2,0.33,6,2,9,0,1,73
5.0,6.4,8.6,0,5,2,16,2,0.4,4,1,2,0,0,66
2.7,6.9,7.3,1,1,4,26,3,0.2,8,2,5,0,1,74
5.9,5.2,5.9,0,4,0,13,1,0.73,4,2,2,0,0,69
